team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,xg,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_clean_sheets,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,shots,shots_on_target,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,passes_completed,passes,progressive_passes,passes_dead,passes_free_kicks,passes_switches,crosses,throw_ins,corner_kicks,passes_offsides,tackles,tackles_won,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,dribbles_completed,dribbles,miscontrols,dispossessed,games_subs,points_per_game,on_goals_for,on_goals_against,goal_difference,on_xg_for,on_xg_against,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Portugal,24,27.8,60.4,5,55,450,5,12,10,10,2,2,6,0,2.4,2,7.8,5,5,450,6,1.2,17,11,1,0,0,0,0,64,24,12.8,4.8,0.16,0.42,19.2,2630,3142,164,240,71,45,102,93,28,14,66,44,30,55,54.5,25,43,12,31,35,101,58,3,3556,25,61,71,30,25,1.8,12,6,6,7.8,6.5,0,55,65,14,1,0,0,256,66,53,55.5
Qatar,20,29,43,3,33,270,3,1,1,1,0,0,7,0,0.33,0.33,1.4,3,3,270,7,2.33,12,5,0,1,1,0,0,20,6,6.67,2,0.05,0.17,21.5,1129,1407,49,154,57,23,42,53,9,7,38,22,14,37,37.8,23,21,4,17,24,62,44,2,1661,16,42,44,22,11,0,1,7,-6,1.4,3.5,0,31,45,7,0,1,0,138,36,38,48.6
Saudi Arabia,23,28.1,44.7,3,33,270,3,3,2,3,0,1,14,0,1,0.67,3,3,3,270,5,1.67,19,14,0,1,1,0,0,28,8,9.33,2.67,0.11,0.38,18.7,870,1205,76,159,55,14,39,59,8,3,47,23,15,33,45.5,18,40,13,27,31,78,67,1,1551,12,42,60,24,14,1,3,5,-2,3,6,0,56,38,3,1,1,0,132,45,49,47.9
Senegal,20,27.7,44.8,4,44,360,4,5,2,4,1,1,7,0,1.25,0.5,4.6,4,4,360,7,1.75,14,7,0,0,0,0,0,51,12,12.75,3,0.08,0.33,18.5,1310,1687,81,191,61,23,71,71,21,8,43,32,20,36,55.6,16,34,6,28,31,74,96,1,2087,26,59,60,45,17,1.5,5,7,-2,4.6,3.5,0,48,57,8,1,0,0,192,72,63,53.3
Serbia,22,27.4,51.3,3,33,270,3,5,4,5,0,0,12,0,1.67,1.33,3.4,3,3,270,8,2.67,24,16,0,0,0,0,0,32,9,10.67,3,0.16,0.56,16.5,1181,1514,73,129,30,17,56,58,9,4,53,22,27,45,60,18,41,10,31,22,75,49,3,1816,9,28,49,22,15,0.33,5,8,-3,3.4,7.3,0,43,28,4,0,0,0,161,43,38,53.1
Spain,21,26.4,75.8,4,44,390,4.3,9,5,8,1,1,2,0,2.08,1.15,6.2,4,4,390,3,0.69,9,6,2,0,0,0,0,48,16,11.08,3.69,0.17,0.5,18.3,3542,3957,175,219,64,20,69,102,21,11,53,32,16,39,41,23,31,4,27,19,72,37,3,4300,24,80,70,41,20,1.25,9,3,6,6.2,3.4,0,41,46,11,1,0,0,225,41,39,51.3
Switzerland,24,28.5,49,4,44,360,4,5,4,5,0,0,9,0,1.25,1,5.6,4,4,360,9,2.25,23,14,1,0,0,0,0,37,12,9.25,3,0.14,0.42,15.9,1663,2063,116,201,56,16,52,83,20,6,48,25,23,39,59,16,35,11,24,24,72,78,1,2407,8,37,55,43,19,1.5,5,9,-4,5.6,5.3,0,53,49,6,0,0,0,190,45,49,47.9
Tunisia,21,27.7,44.3,3,33,270,3,1,1,1,0,0,5,0,0.33,0.33,2.3,3,3,270,1,0.33,10,9,2,0,0,0,0,32,8,10.67,2.67,0.03,0.13,18,998,1352,88,171,32,12,61,94,21,7,64,36,27,38,71.1,11,41,9,32,25,89,85,1,1725,19,46,52,49,12,1.33,1,1,0,2.3,2.8,0,40,28,7,0,0,0,170,48,57,45.7
United States,20,25.4,53,4,44,360,4,3,3,3,0,0,5,0,0.75,0.75,4.1,4,4,360,4,1,12,8,2,1,1,0,0,45,13,11.25,3.25,0.07,0.23,17.1,1816,2234,120,176,46,16,93,81,22,5,52,34,25,43,58.1,18,44,4,40,25,77,66,0,2658,27,66,75,45,19,1.25,3,4,-1,4.1,4.4,0,45,40,5,0,1,0,212,53,53,50
Uruguay,19,28.5,48.7,3,33,270,3,2,1,2,0,0,8,0,0.67,0.33,3.7,3,3,270,2,0.67,7,4,2,2,1,1,0,33,10,11,3.33,0.06,0.2,19.2,1155,1498,88,142,41,9,41,64,8,3,51,31,22,46,47.8,24,39,8,31,32,83,54,1,1836,9,34,51,27,14,1.33,2,2,0,3.7,3.5,0,34,36,3,0,2,0,166,53,47,53
Wales,18,27.7,46.7,3,33,270,3,1,0,0,1,1,5,1,0.33,0,2.7,3,3,269,6,2.01,14,8,0,0,0,0,0,23,6,7.67,2,0,0,20.4,1044,1366,65,149,36,19,36,73,6,4,40,27,15,30,50,15,41,15,26,21,61,78,3,1699,9,36,45,21,13,0.33,1,6,-5,2.7,4.6,0,35,33,4,1,0,0,147,42,41,50.6
